epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9219,1.45757,3.82627,1.24394,0.00081,0.003,0.00013,2e-05,1.17216,3.45622,1.03851,0.0004,0.0004,0.0964
2,36.6656,1.38646,3.24911,1.05394,0.19007,0.27182,0.13716,0.06178,1.51029,3.40471,1.41328,0.00089703,0.00089703,0.091897
3,39.0251,1.47735,2.70477,1.0902,0.2508,0.33115,0.18219,0.1023,1.31961,3.11947,1.18958,0.00139076,0.00139076,0.0873908
4,41.0716,1.3922,2.37357,1.09715,0.22069,0.42006,0.24849,0.13987,1.37802,2.78614,1.2318,0.00188119,0.00188119,0.0828812
5,43.1104,1.40912,2.00446,1.12668,0.21801,0.42003,0.22492,0.12503,1.47419,2.64592,1.25013,0.00236832,0.00236832,0.0783683
6,45.2232,1.44069,1.72578,1.0895,0.06537,0.13377,0.01858,0.00954,1.58375,3.0631,1.40951,0.00285215,0.00285215,0.0738522
7,48.0802,1.3178,1.54451,1.12712,0.03069,0.04079,0.00343,0.00149,nan,nan,nan,0.00333268,0.00333268,0.0693327
8,50.1227,1.40484,1.47841,1.15875,0.03069,0.04079,0.00343,0.00149,nan,nan,nan,0.00380991,0.00380991,0.0648099
9,52.2148,1.27842,1.37833,1.09889,0,0,0,0,nan,nan,nan,0.00428384,0.00428384,0.0602838
10,54.3063,1.36795,1.33597,1.11551,0,0,0,0,nan,nan,nan,0.00475447,0.00475447,0.0557545
11,56.347,1.28657,1.25506,1.09013,0,0,0,0,nan,nan,nan,0.0052218,0.0052218,0.0512218
12,58.5083,1.36122,1.36544,1.05808,0,0,0,0,nan,nan,nan,0.00568583,0.00568583,0.0466858
13,61.0935,1.33589,1.37455,1.13827,0,0,0,0,nan,nan,nan,0.00614656,0.00614656,0.0421466
14,63.231,1.38008,1.48412,1.13213,0,0,0,0,nan,nan,nan,0.00660399,0.00660399,0.037604
15,65.4573,1.38505,1.37663,1.13978,0.00014,0.00074,8e-05,1e-05,nan,nan,nan,0.00705812,0.00705812,0.0330581
16,67.68,1.36426,1.43535,1.12943,0.00014,0.00074,8e-05,1e-05,nan,nan,nan,0.00750895,0.00750895,0.028509
17,69.7926,1.31297,1.37257,1.12651,0.00014,0.00074,8e-05,1e-05,nan,nan,nan,0.00795648,0.00795648,0.0239565
18,71.9023,1.29508,1.33126,1.09047,0,0,0,0,nan,nan,nan,0.00840071,0.00840071,0.0194007
19,74.6813,1.31291,1.29251,1.10127,0,0,0,0,nan,nan,nan,0.00884164,0.00884164,0.0148416
20,76.8028,1.29018,1.30243,1.06757,0,0,0,0,nan,nan,nan,0.00927927,0.00927927,0.0102793
21,78.8957,1.31389,1.23158,1.0569,0.00279,0.003,2e-05,0,nan,nan,nan,0.00934,0.00934,0.00934
22,80.8888,1.30353,1.31117,1.08298,0.00279,0.003,2e-05,0,nan,nan,nan,0.009307,0.009307,0.009307
23,82.9287,1.2729,1.35375,1.08915,0.00279,0.003,2e-05,0,nan,nan,nan,0.009274,0.009274,0.009274
24,84.9887,1.36556,1.30829,1.12647,0.17795,0.23711,0.15085,0.07839,1.58206,4.47939,1.3576,0.009241,0.009241,0.009241
25,87.8756,1.32554,1.29243,1.07447,0.17795,0.23711,0.15085,0.07839,1.58206,4.47939,1.3576,0.009208,0.009208,0.009208
26,89.9477,1.27843,1.19896,1.05632,0.17795,0.23711,0.15085,0.07839,1.58206,4.47939,1.3576,0.009175,0.009175,0.009175
27,92.0982,1.2693,1.30149,1.1084,0.00672,0.01763,0.00038,8e-05,2.23029,inf,1.89615,0.009142,0.009142,0.009142
28,94.1927,1.24337,1.25156,1.08558,0.00672,0.01763,0.00038,8e-05,2.23029,inf,1.89615,0.009109,0.009109,0.009109
29,96.2831,1.34998,1.1697,1.0592,0.00672,0.01763,0.00038,8e-05,2.23029,inf,1.89615,0.009076,0.009076,0.009076
30,98.4592,1.26084,1.16214,1.04372,0.01109,0.01178,0.00021,0.00011,2.3407,inf,2.15764,0.009043,0.009043,0.009043
31,101.233,1.22491,1.15081,1.07528,0.01109,0.01178,0.00021,0.00011,2.3407,inf,2.15764,0.00901,0.00901,0.00901
32,103.261,1.22537,1.24632,1.08591,0.01109,0.01178,0.00021,0.00011,2.3407,inf,2.15764,0.008977,0.008977,0.008977
33,105.755,1.26287,1.3115,1.08198,0.01109,0.01178,0.00021,0.00011,2.3407,inf,2.15764,0.008944,0.008944,0.008944
34,107.947,1.23998,1.2151,1.04262,0.09304,0.04634,0.01713,0.0069,2.13876,inf,1.79745,0.008911,0.008911,0.008911
35,109.998,1.21183,1.20436,1.08971,0.09304,0.04634,0.01713,0.0069,2.13876,inf,1.79745,0.008878,0.008878,0.008878
36,112.527,1.23814,1.167,1.07268,0.09304,0.04634,0.01713,0.0069,2.13876,inf,1.79745,0.008845,0.008845,0.008845
37,115.216,1.2605,1.16587,1.04968,0.01909,0.05603,0.00266,0.00175,1.85845,inf,1.51886,0.008812,0.008812,0.008812
38,117.403,1.30693,1.18526,1.08637,0.01909,0.05603,0.00266,0.00175,1.85845,inf,1.51886,0.008779,0.008779,0.008779
39,119.504,1.19409,1.25389,1.08641,0.01909,0.05603,0.00266,0.00175,1.85845,inf,1.51886,0.008746,0.008746,0.008746
40,121.707,1.20259,1.13077,1.05319,0.02457,0.04302,0.00152,0.00092,1.88909,inf,1.53509,0.008713,0.008713,0.008713
