epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93472,1.45376,3.85769,1.20743,0.11705,0.15261,0.07074,0.04246,1.53094,3.54163,1.22336,0.0004,0.0004,0.0964
2,8.61825,1.25927,3.18342,1.01457,0.04848,0.17998,0.08391,0.02907,2.11625,3.29936,1.7936,0.00089703,0.00089703,0.091897
3,10.7615,1.46735,2.61938,1.08738,0.0501,0.18598,0.08265,0.04456,1.98605,2.94783,1.55855,0.00139076,0.00139076,0.0873908
4,12.6684,1.40053,2.15749,1.09177,0.22957,0.18915,0.16229,0.10177,1.86258,2.81792,1.79917,0.00188119,0.00188119,0.0828812
5,14.5525,1.45205,1.97228,1.14465,0.1498,0.21335,0.17127,0.10726,1.99361,inf,1.85168,0.00236832,0.00236832,0.0783683
6,16.4638,1.48198,1.76723,1.09417,0.06505,0.24147,0.11315,0.07832,1.60826,inf,1.34439,0.00285215,0.00285215,0.0738522
7,18.3483,1.32846,1.63591,1.11041,0.06596,0.24484,0.11014,0.07501,1.47833,inf,1.2683,0.00333268,0.00333268,0.0693327
8,20.7938,1.3679,1.55648,1.11064,0.06596,0.24484,0.11014,0.07501,1.47833,inf,1.2683,0.00380991,0.00380991,0.0648099
9,22.8749,1.26794,1.53594,1.08939,0.04586,0.17023,0.05654,0.03143,1.82318,inf,1.33715,0.00428384,0.00428384,0.0602838
10,24.8528,1.33875,1.44008,1.10129,0.05152,0.19123,0.06398,0.03493,2.05155,inf,1.43676,0.00475447,0.00475447,0.0557545
11,26.7936,1.38,1.31938,1.09859,0.05152,0.19123,0.06398,0.03493,2.05155,inf,1.43676,0.0052218,0.0052218,0.0512218
12,28.8411,1.41212,1.39494,1.05328,0.06374,0.2366,0.05929,0.03794,1.63779,inf,1.40996,0.00568583,0.00568583,0.0466858
13,31.0513,1.29659,1.43286,1.12016,0.06374,0.2366,0.05929,0.03794,1.63779,inf,1.40996,0.00614656,0.00614656,0.0421466
